artist_name,track_name,release_date,genre,lyrics
Cam'ron,Killa Cam,2004,rap,"Killa Cam, Killa Cam, Cam Killa Cam, Killa Cam Killa Cam, Cam Killa Cam, Killa Cam, Cam Killa Killa Killa Cam Killa Cam, Cam, Killa (Killa!) Killa Cam, Killa Cam, Cam (Bases loaded) Killa Cam, Killa Cam (Uh-huh) Killa Cam, Cam (Santana on second, Jim on third) Killa Cam, Killa Cam, Cam (I'm at bat) Killa Killa Killa Cam Killa Cam, Cam, Killa (I'm 'bout to hit this shit out the world) Killa Cam (Ugh, Heatmakerz), Killa Cam, Cam Killa Cam, Killa Cam Killa Cam, Cam (Hahahaha) Killa Cam, Killa Cam, Cam Killa Killa Killa Cam Killa Cam, Cam, Killa (We  make this shit clap) Killa Cam, Killa Cam, Cam Killa Cam, Killa Cam"
JAY-Z,Can I Live,1996,rap,"Yeah, hah, yeah, Roc-A-Fella We invite you to somethin' epic, you know? Well, we hustle out of a sense of hopelessness Sort of a desperation Through that desperation, we become addicted Sort of like the fiends we accustomed to servin' But we feel we have nothin' to lose So, we offer you, well, we offer our lives, right? What do you bring to the table?   While I'm watchin' every nigga watchin' me closely My shit is butter for the bread, they wanna toast me I keep my head, both of them, where they supposed to be Hoes'll get you sidetracked, then clapped from close feet I don't sleep, I'm tired, I feel wired like codeine, these days A brother gotta admire me from four fiends away My pain, wish it was quick to see From sellin' 'caine 'til brains was fried to a fricassee Can't lie, at the time it never bothered me"
Fabolous,Forgive Me Father,2003,rap,"Maybe cause I'm eatin And these bastards fiend for they grub I carry pumps like I serve gasoline to these scrubs Have you seen my Aston leanin on dubs And they can't afford chrome so they puttin Vaseline on they hubs I'm lookin for a girl with a ass like Trina to rub Take home and let her watch the plasma screen in the tub These niggas hate I move as smooth as castor cream in the club And dont pass my green or my bub But I'm a fly nigga that don't do much to pull her and dick her Everyday I'm poppin a tag and pullin a sticker Everyday I'm switchin the tags and pullin up sicker Every ""K"" I'm loadin the mags with bullets to flicker And I ain't hesitatin homie I'm pullin it quicker So you can act tough After a few pulls of some liquor Gotta pull it on niggas And they won't be goin nowhere for a while They might as well pull out a snicker Ye-Ye-Yea  "
Cam'ron,Down and Out,2004,rap,"Ugh, Killa! Baby! Kanye, this that 1970s Heron flow, huh? Yeah, let's speed it up Ugh, I'm back in, ugh, ugh They don't know we finna kill the game this year Killa! 'Ye! C'mon!   Ayo, street mergers, I legislated; the nerve, I never hated On murders, premeditated—absurd! I hesitated Observe: cock and spray, hit you from a block away Drinking sake on a Suzuki; we in Osaka Bay Playing soccer, stupid, stay in a sucker's place Pluck your ace, take your girl, fuck her face She dealing with Killa, so you love her taste She swallowing Killa 'cause she love the taste I got brought up with crooking, kitchen orders that I'm cooking But got caught up with the juxes You would've thought I was from Brooklyn"
Lil Wayne,Fly In,2005,rap,"So they ask me ""Young boy What you gon' do the second time around? How you gon' come back?"" I tried told 'em ""I come back like 32 I jump back like 33"" Ugh, hit me That's nothing This is Tha Carter II, people This is Tha Carter II, people Hey   They call me Mr. Carter, I kissed the daughter Of the dead's forehead, I killed the father Spilled the heart of a mildew hater I will put them body on chill like glaciers, gracias I'm crazy, yes, it's obvious Going against me is atheist"
Lil Wayne,Lollipop Remix,2008,rap,"Haha Uh-huh No homo (Young Mula, baby!) I say, he's so sweet, make her wanna lick the wrapper Remix, baby!   Lollipop, lollipop, breastses just like Dolly Parton She ride my spaceship 'til she hit the top That hit the spot 'Til she ask, ""How many li-i-li-i-licks do it take"" 'til she get to shop? Don't worry why my wrists got so freeze Tell a girl, ""Like Doritos, that's not 'cho cheese"" Tell her friends, ""Like Fritos, I'm tryin' to lay"" I can't only have one, and I ain't trying to wait This a song with Wayne, so you know it's gon' melt But you ain't finna murder me like everybody else I'ma rap like I got some type respect for myself I don't do it for my health, man, I do it for the belt Man, I do it to the death, 'til the roof get melt"
Clipse,Im Not You,2002,rap,"No, no, no! I told you, I lived this shit I ain't up here just rappin' and tappin' Spittin' and skittin' and shit Naw, uh-uh, not me I'm not you, I'm not you, rapper I'm not you, Pusha   I keep that ziploc bustin at the stitches Culinary chemist, I serve the malicious To break the fiends fixes, one give you the sniffles The other leave you with the itches Transport airport with the Vaseline So I can fulfill my dreams of pastures that's green More cash then ya seen, with an Aston that's green Me driving up fast with the lean Zonin' family, keep youngins in them rented Camrys Door panels full of shit and I ain't full of shit Reckless ass, God forbid they don't crash"
Cam'ron,Family Ties,2004,rap,"Killa, Dipset Man I spit that pimp talk, you hang out where the pimps collide It's a pimp in my ride, no need to pimp the ride This ain't the pimp camp: pimp limp, pimp stance Pimp-slap a slim tramp, order steak, shrimp scamp Ok-k-kay, you g-g-gay I'll soufflé ya toupée and bottles be a bouquet Right where you stay, or where you stayed That .45 trey deuce spade sprayed, you stayed Unload the click-clack to ya fit cap Hold the shit back, say goodbye and go commit that For 9 years in Spain had the time share Back to Times Square...I got dimes here By the Port Authority, but I got more authority Your girl she ordered Mauri, checks she forge 'em for me Reporters report me how she report to the orgy But it's more to the story: her daughter applaud me   We in a zone, our soldiers like to stand by"
Cam'ron,Rockin and Rollin,1998,rap,"Ay yo you wonder who I are I guzzle up at the bar But you see me in the cars that start with the double R Range Rover, Rolls Royce, even got a Rocky Rolly See more ice than a hockey goalie Baby eating guacamole I did without Now I live it out Cars? got to whip it out Every year I get it out (Why?) I be long gone (Where?) probably Hong Kong Girls with their thong on I'm playing Don Juan Drinking Chandon Where the chron, ma? ""You smoke weed?"" ""What you think, girl? Uh-huh!"" Start the car up Take her on a long ride Yo she think my steering wheel on the wrong side"
Cam'ron,Lord You Know,2004,rap,"Now Lord you know, just how hard I try To live my life and get it right Trying to see some light or even better Way over way a new day, someday Yesterday was filled with sorrow but tomorrow It gets better I know, tell you, I know   With my muscle you'll be dazzled, but hustlin's a hassle Percocet, Demerol, capsules of Paxil Cops wanna cuff you, niggas wanna clap you Bitches might burn you; they runnin' with that clap too But the monster made it Do it for those incarcerated, who had it confiscated Hate it when they take powder Upstate he take showers Baby moms on Greyhound for 8 hours See her man face-to-face through the glass On the phone. 10 years he got, chasin' that cash Cocaine, he had that game in a smash"
Lil Wayne,Money On My Mind,2005,rap,"Yeah Money on my mind, money on my mind (Yeah) Money on my mind, money—money on my mind (Yeah) Money on my mind, money on my mind (That's right) Money—money on my mind So money is all I think of (That's right) Money on my mind, money on my mind (Bitch) Money on my mind, m—m—m—money on my mind (You know) M—m—m—money on my mind (Bitch) Money—money on my mind (Bitch) Money—money on my mind So money is all I think of (Ayy) Yeah   Stepping out the motherfuckin' car, they in awe (Yeah) I'm looking like a star, bitch, when you see me, make a wish Holler at your motherfuckin' boy, JR (Brr) Birdman my pa, bitch, ball bred, born rich (Yeah) Dear Mr. Toilet, I'm the shit"
